,report_date,location,Abrive,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
573,5/11/16,District_of_Columbia,DC,state,zika_reported_local,US0002,NA,NA,0,cases
574,5/11/16,District_of_Columbia,DC,state,zika_reported_travel,US0001,NA,NA,4,cases
649,5/4/16,District_of_Columbia,DC,state,zika_reported_travel,US0001,NA,NA,3,cases
650,5/4/16,District_of_Columbia,DC,state,zika_reported_local,US0002,NA,NA,0,cases
725,4/27/16,District_of_Columbia,DC,state,zika_reported_local,US0002,NA,NA,0,cases
726,4/27/16,District_of_Columbia,DC,state,zika_reported_travel,US0001,NA,NA,3,cases
803,4/20/16,District_of_Columbia,DC,state,zika_reported_local,US0002,NA,NA,0,cases
804,4/20/16,District_of_Columbia,DC,state,zika_reported_travel,US0001,NA,NA,3,cases
893,4/13/16,District_of_Columbia,DC,state,zika_reported_local,US0002,NA,NA,0,cases
894,4/13/16,District_of_Columbia,DC,state,zika_reported_travel,US0001,NA,NA,3,cases
981,4/6/16,District_of_Columbia,DC,state,zika_reported_travel,US0001,NA,NA,3,cases
982,4/6/16,District_of_Columbia,DC,state,zika_reported_local,US0002,NA,NA,0,cases
1067,3/30/16,District_of_Columbia,DC,state,zika_reported_travel,US0001,NA,NA,3,cases
1068,3/30/16,District_of_Columbia,DC,state,zika_reported_local,US0002,NA,NA,0,cases
1153,3/23/16,District_of_Columbia,DC,state,zika_reported_local,US0002,NA,NA,0,cases
1154,3/23/16,District_of_Columbia,DC,state,zika_reported_travel,US0001,NA,NA,3,cases
1229,3/16/16,District_of_Columbia,DC,state,zika_reported_travel,US0001,NA,NA,3,cases
1230,3/16/16,District_of_Columbia,DC,state,zika_reported_local,US0002,NA,NA,0,cases
1305,3/9/16,District_of_Columbia,DC,state,zika_reported_local,US0002,NA,NA,0,cases
1306,3/9/16,District_of_Columbia,DC,state,zika_reported_travel,US0001,NA,NA,3,cases
1373,2/24/16,District_of_Columbia,DC,state,zika_reported_local,US0002,NA,NA,0,cases
1374,2/24/16,District_of_Columbia,DC,state,zika_reported_travel,US0001,NA,NA,3,cases
19,6/29/16,Florida,FL,state,zika_reported_travel,US0001,NA,NA,182,cases
20,6/29/16,Florida,FL,state,zika_reported_local,US0002,NA,NA,0,cases
117,6/22/16,Florida,FL,state,zika_reported_travel,US0001,NA,NA,162,cases
118,6/22/16,Florida,FL,state,zika_reported_local,US0002,NA,NA,0,cases
215,6/15/16,Florida,FL,state,zika_reported_travel,US0001,NA,NA,141,cases
216,6/15/16,Florida,FL,state,zika_reported_local,US0002,NA,NA,0,cases
487,5/25/16,Florida,FL,state,zika_reported_local,US0002,NA,NA,0,cases
488,5/25/16,Florida,FL,state,zika_reported_travel,US0001,NA,NA,121,cases
805,4/20/16,Florida,FL,state,zika_reported_local,US0002,NA,NA,0,cases
806,4/20/16,Florida,FL,state,zika_reported_travel,US0001,NA,NA,84,cases
895,4/13/16,Florida,FL,state,zika_reported_local,US0002,NA,NA,0,cases
896,4/13/16,Florida,FL,state,zika_reported_travel,US0001,NA,NA,82,cases
983,4/6/16,Florida,FL,state,zika_reported_travel,US0001,NA,NA,78,cases
984,4/6/16,Florida,FL,state,zika_reported_local,US0002,NA,NA,0,cases
1069,3/30/16,Florida,FL,state,zika_reported_travel,US0001,NA,NA,74,cases
1070,3/30/16,Florida,FL,state,zika_reported_local,US0002,NA,NA,0,cases
1155,3/23/16,Florida,FL,state,zika_reported_local,US0002,NA,NA,0,cases
1156,3/23/16,Florida,FL,state,zika_reported_travel,US0001,NA,NA,70,cases
1231,3/16/16,Florida,FL,state,zika_reported_travel,US0001,NA,NA,59,cases
1232,3/16/16,Florida,FL,state,zika_reported_local,US0002,NA,NA,0,cases
1307,3/9/16,Florida,FL,state,zika_reported_local,US0002,NA,NA,0,cases
1308,3/9/16,Florida,FL,state,zika_reported_travel,US0001,NA,NA,49,cases
1375,2/24/16,Florida,FL,state,zika_reported_travel,US0001,NA,NA,28,cases
1376,2/24/16,Florida,FL,state,zika_reported_local,US0002,NA,NA,0,cases
21,6/29/16,Georgia,GA,state,zika_reported_travel,US0001,NA,NA,26,cases
22,6/29/16,Georgia,GA,state,zika_reported_local,US0002,NA,NA,0,cases
119,6/22/16,Georgia,GA,state,zika_reported_travel,US0001,NA,NA,25,cases
120,6/22/16,Georgia,GA,state,zika_reported_local,US0002,NA,NA,0,cases
217,6/15/16,Georgia,GA,state,zika_reported_travel,US0001,NA,NA,20,cases
218,6/15/16,Georgia,GA,state,zika_reported_local,US0002,NA,NA,0,cases
313,6/8/16,Georgia,GA,state,zika_reported_travel,US0001,NA,NA,17,cases
314,6/8/16,Georgia,GA,state,zika_reported_local,US0002,NA,NA,0,cases
401,6/1/16,Georgia,GA,state,zika_reported_local,US0002,NA,NA,0,cases
402,6/1/16,Georgia,GA,state,zika_reported_travel,US0001,NA,NA,17,cases
489,5/25/16,Georgia,GA,state,zika_reported_local,US0002,NA,NA,0,cases
490,5/25/16,Georgia,GA,state,zika_reported_travel,US0001,NA,NA,15,cases
575,5/11/16,Georgia,GA,state,zika_reported_travel,US0001,NA,NA,13,cases
576,5/11/16,Georgia,GA,state,zika_reported_local,US0002,NA,NA,0,cases
651,5/4/16,Georgia,GA,state,zika_reported_travel,US0001,NA,NA,13,cases
652,5/4/16,Georgia,GA,state,zika_reported_local,US0002,NA,NA,0,cases
727,4/27/16,Georgia,GA,state,zika_reported_local,US0002,NA,NA,0,cases
728,4/27/16,Georgia,GA,state,zika_reported_travel,US0001,NA,NA,13,cases
807,4/20/16,Georgia,GA,state,zika_reported_travel,US0001,NA,NA,13,cases
808,4/20/16,Georgia,GA,state,zika_reported_local,US0002,NA,NA,0,cases
897,4/13/16,Georgia,GA,state,zika_reported_local,US0002,NA,NA,0,cases
898,4/13/16,Georgia,GA,state,zika_reported_travel,US0001,NA,NA,11,cases
985,4/6/16,Georgia,GA,state,zika_reported_local,US0002,NA,NA,0,cases
986,4/6/16,Georgia,GA,state,zika_reported_travel,US0001,NA,NA,11,cases
1071,3/30/16,Georgia,GA,state,zika_reported_local,US0002,NA,NA,0,cases
1072,3/30/16,Georgia,GA,state,zika_reported_travel,US0001,NA,NA,9,cases
1157,3/23/16,Georgia,GA,state,zika_reported_travel,US0001,NA,NA,7,cases
1158,3/23/16,Georgia,GA,state,zika_reported_local,US0002,NA,NA,0,cases
1233,3/16/16,Georgia,GA,state,zika_reported_travel,US0001,NA,NA,7,cases
1234,3/16/16,Georgia,GA,state,zika_reported_local,US0002,NA,NA,0,cases
1309,3/9/16,Georgia,GA,state,zika_reported_local,US0002,NA,NA,0,cases
1310,3/9/16,Georgia,GA,state,zika_reported_travel,US0001,NA,NA,5,cases
1377,2/24/16,Georgia,GA,state,zika_reported_local,US0002,NA,NA,0,cases
1378,2/24/16,Georgia,GA,state,zika_reported_travel,US0001,NA,NA,1,cases
37,6/29/16,Maine,ME,state,zika_reported_travel,US0001,NA,NA,6,cases
38,6/29/16,Maine,ME,state,zika_reported_local,US0002,NA,NA,0,cases
135,6/22/16,Maine,ME,state,zika_reported_travel,US0001,NA,NA,6,cases
136,6/22/16,Maine,ME,state,zika_reported_local,US0002,NA,NA,0,cases
233,6/15/16,Maine,ME,state,zika_reported_travel,US0001,NA,NA,6,cases
234,6/15/16,Maine,ME,state,zika_reported_local,US0002,NA,NA,0,cases
329,6/8/16,Maine,ME,state,zika_reported_local,US0002,NA,NA,0,cases
330,6/8/16,Maine,ME,state,zika_reported_travel,US0001,NA,NA,6,cases
417,6/1/16,Maine,ME,state,zika_reported_local,US0002,NA,NA,0,cases
418,6/1/16,Maine,ME,state,zika_reported_travel,US0001,NA,NA,5,cases
505,5/25/16,Maine,ME,state,zika_reported_local,US0002,NA,NA,0,cases
506,5/25/16,Maine,ME,state,zika_reported_travel,US0001,NA,NA,5,cases
823,4/20/16,Maine,ME,state,zika_reported_travel,US0001,NA,NA,2,cases
824,4/20/16,Maine,ME,state,zika_reported_local,US0002,NA,NA,0,cases
913,4/13/16,Maine,ME,state,zika_reported_travel,US0001,NA,NA,1,cases
914,4/13/16,Maine,ME,state,zika_reported_local,US0002,NA,NA,0,cases
1001,4/6/16,Maine,ME,state,zika_reported_travel,US0001,NA,NA,1,cases
1002,4/6/16,Maine,ME,state,zika_reported_local,US0002,NA,NA,0,cases
1087,3/30/16,Maine,ME,state,zika_reported_travel,US0001,NA,NA,1,cases
1088,3/30/16,Maine,ME,state,zika_reported_local,US0002,NA,NA,0,cases
39,6/29/16,Maryland,MD,state,zika_reported_travel,US0001,NA,NA,31,cases
40,6/29/16,Maryland,MD,state,zika_reported_local,US0002,NA,NA,0,cases
137,6/22/16,Maryland,MD,state,zika_reported_travel,US0001,NA,NA,26,cases
138,6/22/16,Maryland,MD,state,zika_reported_local,US0002,NA,NA,0,cases
235,6/15/16,Maryland,MD,state,zika_reported_travel,US0001,NA,NA,25,cases
236,6/15/16,Maryland,MD,state,zika_reported_local,US0002,NA,NA,0,cases
331,6/8/16,Maryland,MD,state,zika_reported_travel,US0001,NA,NA,21,cases
332,6/8/16,Maryland,MD,state,zika_reported_local,US0002,NA,NA,0,cases
419,6/1/16,Maryland,MD,state,zika_reported_local,US0002,NA,NA,0,cases
420,6/1/16,Maryland,MD,state,zika_reported_travel,US0001,NA,NA,19,cases
507,5/25/16,Maryland,MD,state,zika_reported_travel,US0001,NA,NA,17,cases
508,5/25/16,Maryland,MD,state,zika_reported_local,US0002,NA,NA,0,cases
591,5/11/16,Maryland,MD,state,zika_reported_travel,US0001,NA,NA,16,cases
592,5/11/16,Maryland,MD,state,zika_reported_local,US0002,NA,NA,0,cases
667,5/4/16,Maryland,MD,state,zika_reported_local,US0002,NA,NA,0,cases
668,5/4/16,Maryland,MD,state,zika_reported_travel,US0001,NA,NA,17,cases
743,4/27/16,Maryland,MD,state,zika_reported_travel,US0001,NA,NA,11,cases
744,4/27/16,Maryland,MD,state,zika_reported_local,US0002,NA,NA,0,cases
825,4/20/16,Maryland,MD,state,zika_reported_travel,US0001,NA,NA,8,cases
826,4/20/16,Maryland,MD,state,zika_reported_local,US0002,NA,NA,0,cases
915,4/13/16,Maryland,MD,state,zika_reported_local,US0002,NA,NA,0,cases
916,4/13/16,Maryland,MD,state,zika_reported_travel,US0001,NA,NA,7,cases
1003,4/6/16,Maryland,MD,state,zika_reported_local,US0002,NA,NA,0,cases
1004,4/6/16,Maryland,MD,state,zika_reported_travel,US0001,NA,NA,6,cases
1089,3/30/16,Maryland,MD,state,zika_reported_local,US0002,NA,NA,0,cases
1090,3/30/16,Maryland,MD,state,zika_reported_travel,US0001,NA,NA,6,cases
1173,3/23/16,Maryland,MD,state,zika_reported_local,US0002,NA,NA,0,cases
1174,3/23/16,Maryland,MD,state,zika_reported_travel,US0001,NA,NA,5,cases
1249,3/16/16,Maryland,MD,state,zika_reported_travel,US0001,NA,NA,5,cases
1250,3/16/16,Maryland,MD,state,zika_reported_local,US0002,NA,NA,0,cases
1321,3/9/16,Maryland,MD,state,zika_reported_travel,US0001,NA,NA,4,cases
1322,3/9/16,Maryland,MD,state,zika_reported_local,US0002,NA,NA,0,cases
1389,2/24/16,Maryland,MD,state,zika_reported_local,US0002,NA,NA,0,cases
1390,2/24/16,Maryland,MD,state,zika_reported_travel,US0001,NA,NA,3,cases
41,6/29/16,Massachusetts,MA,state,zika_reported_local,US0002,NA,NA,0,cases
42,6/29/16,Massachusetts,MA,state,zika_reported_travel,US0001,NA,NA,32,cases
139,6/22/16,Massachusetts,MA,state,zika_reported_local,US0002,NA,NA,0,cases
140,6/22/16,Massachusetts,MA,state,zika_reported_travel,US0001,NA,NA,28,cases
237,6/15/16,Massachusetts,MA,state,zika_reported_local,US0002,NA,NA,0,cases
238,6/15/16,Massachusetts,MA,state,zika_reported_travel,US0001,NA,NA,27,cases
333,6/8/16,Massachusetts,MA,state,zika_reported_local,US0002,NA,NA,0,cases
334,6/8/16,Massachusetts,MA,state,zika_reported_travel,US0001,NA,NA,20,cases
421,6/1/16,Massachusetts,MA,state,zika_reported_travel,US0001,NA,NA,17,cases
422,6/1/16,Massachusetts,MA,state,zika_reported_local,US0002,NA,NA,0,cases
509,5/25/16,Massachusetts,MA,state,zika_reported_travel,US0001,NA,NA,16,cases
510,5/25/16,Massachusetts,MA,state,zika_reported_local,US0002,NA,NA,0,cases
593,5/11/16,Massachusetts,MA,state,zika_reported_local,US0002,NA,NA,0,cases
594,5/11/16,Massachusetts,MA,state,zika_reported_travel,US0001,NA,NA,10,cases
669,5/4/16,Massachusetts,MA,state,zika_reported_local,US0002,NA,NA,0,cases
670,5/4/16,Massachusetts,MA,state,zika_reported_travel,US0001,NA,NA,10,cases
745,4/27/16,Massachusetts,MA,state,zika_reported_travel,US0001,NA,NA,7,cases
746,4/27/16,Massachusetts,MA,state,zika_reported_local,US0002,NA,NA,0,cases
827,4/20/16,Massachusetts,MA,state,zika_reported_local,US0002,NA,NA,0,cases
828,4/20/16,Massachusetts,MA,state,zika_reported_travel,US0001,NA,NA,7,cases
917,4/13/16,Massachusetts,MA,state,zika_reported_local,US0002,NA,NA,0,cases
918,4/13/16,Massachusetts,MA,state,zika_reported_travel,US0001,NA,NA,7,cases
1005,4/6/16,Massachusetts,MA,state,zika_reported_travel,US0001,NA,NA,7,cases
1006,4/6/16,Massachusetts,MA,state,zika_reported_local,US0002,NA,NA,0,cases
1091,3/30/16,Massachusetts,MA,state,zika_reported_travel,US0001,NA,NA,7,cases
1092,3/30/16,Massachusetts,MA,state,zika_reported_local,US0002,NA,NA,0,cases
1175,3/23/16,Massachusetts,MA,state,zika_reported_travel,US0001,NA,NA,3,cases
1176,3/23/16,Massachusetts,MA,state,zika_reported_local,US0002,NA,NA,0,cases
1251,3/16/16,Massachusetts,MA,state,zika_reported_travel,US0001,NA,NA,3,cases
1252,3/16/16,Massachusetts,MA,state,zika_reported_local,US0002,NA,NA,0,cases
1323,3/9/16,Massachusetts,MA,state,zika_reported_local,US0002,NA,NA,0,cases
1324,3/9/16,Massachusetts,MA,state,zika_reported_travel,US0001,NA,NA,3,cases
1391,2/24/16,Massachusetts,MA,state,zika_reported_travel,US0001,NA,NA,2,cases
1392,2/24/16,Massachusetts,MA,state,zika_reported_local,US0002,NA,NA,0,cases
57,6/29/16,New_Hampshire,NH,state,zika_reported_travel,US0001,NA,NA,4,cases
58,6/29/16,New_Hampshire,NH,state,zika_reported_local,US0002,NA,NA,0,cases
155,6/22/16,New_Hampshire,NH,state,zika_reported_travel,US0001,NA,NA,4,cases
156,6/22/16,New_Hampshire,NH,state,zika_reported_local,US0002,NA,NA,0,cases
253,6/15/16,New_Hampshire,NH,state,zika_reported_travel,US0001,NA,NA,4,cases
254,6/15/16,New_Hampshire,NH,state,zika_reported_local,US0002,NA,NA,0,cases
349,6/8/16,New_Hampshire,NH,state,zika_reported_travel,US0001,NA,NA,4,cases
350,6/8/16,New_Hampshire,NH,state,zika_reported_local,US0002,NA,NA,0,cases
437,6/1/16,New_Hampshire,NH,state,zika_reported_travel,US0001,NA,NA,4,cases
438,6/1/16,New_Hampshire,NH,state,zika_reported_local,US0002,NA,NA,0,cases
525,5/25/16,New_Hampshire,NH,state,zika_reported_travel,US0001,NA,NA,3,cases
526,5/25/16,New_Hampshire,NH,state,zika_reported_local,US0002,NA,NA,0,cases
605,5/11/16,New_Hampshire,NH,state,zika_reported_local,US0002,NA,NA,0,cases
606,5/11/16,New_Hampshire,NH,state,zika_reported_travel,US0001,NA,NA,3,cases
681,5/4/16,New_Hampshire,NH,state,zika_reported_travel,US0001,NA,NA,3,cases
682,5/4/16,New_Hampshire,NH,state,zika_reported_local,US0002,NA,NA,0,cases
757,4/27/16,New_Hampshire,NH,state,zika_reported_travel,US0001,NA,NA,3,cases
758,4/27/16,New_Hampshire,NH,state,zika_reported_local,US0002,NA,NA,0,cases
843,4/20/16,New_Hampshire,NH,state,zika_reported_travel,US0001,NA,NA,2,cases
844,4/20/16,New_Hampshire,NH,state,zika_reported_local,US0002,NA,NA,0,cases
933,4/13/16,New_Hampshire,NH,state,zika_reported_local,US0002,NA,NA,0,cases
934,4/13/16,New_Hampshire,NH,state,zika_reported_travel,US0001,NA,NA,2,cases
1021,4/6/16,New_Hampshire,NH,state,zika_reported_travel,US0001,NA,NA,2,cases
1022,4/6/16,New_Hampshire,NH,state,zika_reported_local,US0002,NA,NA,0,cases
1107,3/30/16,New_Hampshire,NH,state,zika_reported_travel,US0001,NA,NA,2,cases
1108,3/30/16,New_Hampshire,NH,state,zika_reported_local,US0002,NA,NA,0,cases
1187,3/23/16,New_Hampshire,NH,state,zika_reported_local,US0002,NA,NA,0,cases
1188,3/23/16,New_Hampshire,NH,state,zika_reported_travel,US0001,NA,NA,2,cases
1263,3/16/16,New_Hampshire,NH,state,zika_reported_travel,US0001,NA,NA,2,cases
1264,3/16/16,New_Hampshire,NH,state,zika_reported_local,US0002,NA,NA,0,cases
1335,3/9/16,New_Hampshire,NH,state,zika_reported_local,US0002,NA,NA,0,cases
1336,3/9/16,New_Hampshire,NH,state,zika_reported_travel,US0001,NA,NA,1,cases
59,6/29/16,New_Jersey,NJ,state,zika_reported_local,US0002,NA,NA,0,cases
60,6/29/16,New_Jersey,NJ,state,zika_reported_travel,US0001,NA,NA,21,cases
157,6/22/16,New_Jersey,NJ,state,zika_reported_local,US0002,NA,NA,0,cases
158,6/22/16,New_Jersey,NJ,state,zika_reported_travel,US0001,NA,NA,17,cases
255,6/15/16,New_Jersey,NJ,state,zika_reported_local,US0002,NA,NA,0,cases
256,6/15/16,New_Jersey,NJ,state,zika_reported_travel,US0001,NA,NA,17,cases
351,6/8/16,New_Jersey,NJ,state,zika_reported_local,US0002,NA,NA,0,cases
352,6/8/16,New_Jersey,NJ,state,zika_reported_travel,US0001,NA,NA,17,cases
439,6/1/16,New_Jersey,NJ,state,zika_reported_travel,US0001,NA,NA,14,cases
440,6/1/16,New_Jersey,NJ,state,zika_reported_local,US0002,NA,NA,0,cases
527,5/25/16,New_Jersey,NJ,state,zika_reported_local,US0002,NA,NA,0,cases
528,5/25/16,New_Jersey,NJ,state,zika_reported_travel,US0001,NA,NA,14,cases
607,5/11/16,New_Jersey,NJ,state,zika_reported_local,US0002,NA,NA,0,cases
608,5/11/16,New_Jersey,NJ,state,zika_reported_travel,US0001,NA,NA,12,cases
683,5/4/16,New_Jersey,NJ,state,zika_reported_local,US0002,NA,NA,0,cases
684,5/4/16,New_Jersey,NJ,state,zika_reported_travel,US0001,NA,NA,9,cases
759,4/27/16,New_Jersey,NJ,state,zika_reported_local,US0002,NA,NA,0,cases
760,4/27/16,New_Jersey,NJ,state,zika_reported_travel,US0001,NA,NA,9,cases
845,4/20/16,New_Jersey,NJ,state,zika_reported_local,US0002,NA,NA,0,cases
846,4/20/16,New_Jersey,NJ,state,zika_reported_travel,US0001,NA,NA,8,cases
935,4/13/16,New_Jersey,NJ,state,zika_reported_local,US0002,NA,NA,0,cases
936,4/13/16,New_Jersey,NJ,state,zika_reported_travel,US0001,NA,NA,8,cases
1023,4/6/16,New_Jersey,NJ,state,zika_reported_travel,US0001,NA,NA,5,cases
1024,4/6/16,New_Jersey,NJ,state,zika_reported_local,US0002,NA,NA,0,cases
1109,3/30/16,New_Jersey,NJ,state,zika_reported_travel,US0001,NA,NA,5,cases
1110,3/30/16,New_Jersey,NJ,state,zika_reported_local,US0002,NA,NA,0,cases
1189,3/23/16,New_Jersey,NJ,state,zika_reported_local,US0002,NA,NA,0,cases
1190,3/23/16,New_Jersey,NJ,state,zika_reported_travel,US0001,NA,NA,2,cases
1265,3/16/16,New_Jersey,NJ,state,zika_reported_travel,US0001,NA,NA,2,cases
1266,3/16/16,New_Jersey,NJ,state,zika_reported_local,US0002,NA,NA,0,cases
1337,3/9/16,New_Jersey,NJ,state,zika_reported_travel,US0001,NA,NA,2,cases
1338,3/9/16,New_Jersey,NJ,state,zika_reported_local,US0002,NA,NA,0,cases
1397,2/24/16,New_Jersey,NJ,state,zika_reported_local,US0002,NA,NA,0,cases
1398,2/24/16,New_Jersey,NJ,state,zika_reported_travel,US0001,NA,NA,1,cases
63,6/29/16,New_York,NY,state,zika_reported_travel,US0001,NA,NA,236,cases
64,6/29/16,New_York,NY,state,zika_reported_local,US0002,NA,NA,0,cases
161,6/22/16,New_York,NY,state,zika_reported_travel,US0001,NA,NA,198,cases
162,6/22/16,New_York,NY,state,zika_reported_local,US0002,NA,NA,0,cases
259,6/15/16,New_York,NY,state,zika_reported_travel,US0001,NA,NA,174,cases
260,6/15/16,New_York,NY,state,zika_reported_local,US0002,NA,NA,0,cases
355,6/8/16,New_York,NY,state,zika_reported_local,US0002,NA,NA,0,cases
356,6/8/16,New_York,NY,state,zika_reported_travel,US0001,NA,NA,164,cases
443,6/1/16,New_York,NY,state,zika_reported_local,US0002,NA,NA,0,cases
444,6/1/16,New_York,NY,state,zika_reported_travel,US0001,NA,NA,130,cases
531,5/25/16,New_York,NY,state,zika_reported_local,US0002,NA,NA,0,cases
532,5/25/16,New_York,NY,state,zika_reported_travel,US0001,NA,NA,127,cases
609,5/11/16,New_York,NY,state,zika_reported_local,US0002,NA,NA,0,cases
610,5/11/16,New_York,NY,state,zika_reported_travel,US0001,NA,NA,98,cases
685,5/4/16,New_York,NY,state,zika_reported_travel,US0001,NA,NA,89,cases
686,5/4/16,New_York,NY,state,zika_reported_local,US0002,NA,NA,0,cases
761,4/27/16,New_York,NY,state,zika_reported_local,US0002,NA,NA,0,cases
762,4/27/16,New_York,NY,state,zika_reported_travel,US0001,NA,NA,77,cases
